id,created_at_utc,symbol,rule,direction,instrument,payload_json,void_reason
b92d224eaf3b4bfaa3517271ba4f9b43,2026-09-18 04:05:02.279160,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23300 PE"", ""strike"": 23300, ""ep"": 111.1, ""sl"": 91.1, ""tp"": 141.1, ""rr"": 1.5, ""delta"": -0.479, ""theta_day"": -12.66, ""time_stop_min"": 20, ""spot"": 23295.45, ""why"": ""rejected 23300 CE OI wall (high 23305.9, spot 23290.7)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1300.0, ""max_loss"": 5200.0, ""premium_outlay"": 28886.0, ""outlay_pct"": 28.9, ""profit_tp"": 7800.0}, ""quote_source"": ""kite"", ""bid"": 110.9, ""ask"": 111.1, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.87, ""exit_t"": ""2026-09-18T09:54:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:31+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
f16680eb2a31452bacf51231de2d6cca,2026-09-18 04:11:06.856981,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""CE"", ""instrument"": ""NIFTY 23300 CE"", ""strike"": 23300, ""ep"": 122.75, ""sl"": 100.66, ""tp"": 155.88, ""rr"": 1.5, ""delta"": 0.524, ""theta_day"": -14.6, ""time_stop_min"": 20, ""spot"": 23295.45, ""why"": ""bounced off 23300 PE OI wall (low 23294.8, spot 23319.2)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 3, ""risk_per_lot"": 1435.85, ""max_loss"": 4307.55, ""premium_outlay"": 23936.25, ""outlay_pct"": 23.9, ""profit_tp"": 6460.35}, ""quote_source"": ""kite"", ""bid"": 122.5, ""ask"": 122.75, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": 0.26, ""exit_t"": ""2026-09-18T10:00:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:31+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
e6ea9b9ef4664442bbee6bbfaa11e3a0,2026-09-18 04:37:06.964745,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23350 PE"", ""strike"": 23350, ""ep"": 121.3, ""sl"": 99.47, ""tp"": 154.04, ""rr"": 1.5, ""delta"": -0.514, ""theta_day"": -11.71, ""time_stop_min"": 20, ""spot"": 23318.4, ""why"": ""rejected 23300 CE OI wall (high 23330.2, spot 23313.8)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 3, ""risk_per_lot"": 1418.95, ""max_loss"": 4256.85, ""premium_outlay"": 23653.5, ""outlay_pct"": 23.7, ""profit_tp"": 6384.3}, ""quote_source"": ""kite"", ""bid"": 120.95, ""ask"": 121.3, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": 0.23, ""exit_t"": ""2026-09-18T10:26:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:31+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
bb3c0720cb04448aafb890ccdae2da24,2026-09-18 04:41:41.155298,NIFTY,WALL_REJECT,CE,NIFTY 23350 CE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""CE"", ""instrument"": ""NIFTY 23350 CE"", ""strike"": 23350, ""ep"": 97.45, ""sl"": 79.91, ""tp"": 123.76, ""rr"": 1.5, ""delta"": 0.482, ""theta_day"": -13.75, ""time_stop_min"": 20, ""spot"": 23318.4, ""why"": ""bounced off 23300 PE OI wall (low 23309.0, spot 23328.2)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1140.1, ""max_loss"": 4560.4, ""premium_outlay"": 25337.0, ""outlay_pct"": 25.3, ""profit_tp"": 6840.6}, ""quote_source"": ""kite"", ""bid"": 97.2, ""ask"": 97.45, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.36, ""exit_t"": ""2026-09-18T10:30:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
951ad717812b48bdbc6fd1e8b7376af7,2026-09-18 05:07:37.250025,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23350 PE"", ""strike"": 23350, ""ep"": 124.05, ""sl"": 101.72, ""tp"": 157.54, ""rr"": 1.5, ""delta"": -0.529, ""theta_day"": -11.74, ""time_stop_min"": 20, ""spot"": 23307.55, ""why"": ""rejected 23300 CE OI wall (high 23309.2, spot 23301.2)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 3, ""risk_per_lot"": 1451.45, ""max_loss"": 4354.35, ""premium_outlay"": 24189.75, ""outlay_pct"": 24.2, ""profit_tp"": 6530.55}, ""quote_source"": ""kite"", ""bid"": 123.7, ""ask"": 124.05, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.22, ""exit_t"": ""2026-09-18T10:56:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
04ab3e51683340dd8f21f57a0a26e801,2026-09-18 05:24:26.504208,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""CE"", ""instrument"": ""NIFTY 23300 CE"", ""strike"": 23300, ""ep"": 114.25, ""sl"": 93.68, ""tp"": 145.1, ""rr"": 1.5, ""delta"": 0.539, ""theta_day"": -13.86, ""time_stop_min"": 20, ""spot"": 23303.65, ""why"": ""bounced off 23300 PE OI wall (low 23297.7, spot 23308.6)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1337.05, ""max_loss"": 5348.2, ""premium_outlay"": 29705.0, ""outlay_pct"": 29.7, ""profit_tp"": 8021.0}, ""quote_source"": ""kite"", ""bid"": 114, ""ask"": 114.25, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.17, ""exit_t"": ""2026-09-18T11:13:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
52c4bd5a848041f3bcfe539f1f1c5b40,2026-09-18 05:38:10.463705,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23350 PE"", ""strike"": 23350, ""ep"": 122.0, ""sl"": 100.04, ""tp"": 154.94, ""rr"": 1.5, ""delta"": -0.528, ""theta_day"": -11.79, ""time_stop_min"": 20, ""spot"": 23308.7, ""why"": ""rejected 23300 CE OI wall (high 23309.4, spot 23300.2)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 3, ""risk_per_lot"": 1427.4, ""max_loss"": 4282.2, ""premium_outlay"": 23790.0, ""outlay_pct"": 23.8, ""profit_tp"": 6423.3}, ""quote_source"": ""kite"", ""bid"": 121.75, ""ask"": 122, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": 0.03, ""exit_t"": ""2026-09-18T11:27:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
73d6b82f7b9d4a7d90dbf5de55437f3f,2026-09-18 06:08:36.988399,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23300 PE"", ""strike"": 23300, ""ep"": 100.0, ""sl"": 82.0, ""tp"": 127.0, ""rr"": 1.5, ""delta"": -0.479, ""theta_day"": -11.47, ""time_stop_min"": 20, ""spot"": 23294.7, ""why"": ""rejected 23300 CE OI wall (high 23304.2, spot 23300.9)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1170.0, ""max_loss"": 4680.0, ""premium_outlay"": 26000.0, ""outlay_pct"": 26.0, ""profit_tp"": 7020.0}, ""quote_source"": ""kite"", ""bid"": 99.9, ""ask"": 100, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.66, ""exit_t"": ""2026-09-18T11:57:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
7a187384c2b04773a9b39fb3882e3e42,2026-09-18 06:10:10.310288,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""CE"", ""instrument"": ""NIFTY 23300 CE"", ""strike"": 23300, ""ep"": 105.3, ""sl"": 86.35, ""tp"": 133.72, ""rr"": 1.5, ""delta"": 0.524, ""theta_day"": -13.83, ""time_stop_min"": 20, ""spot"": 23294.7, ""why"": ""bounced off 23300 PE OI wall (low 23296.8, spot 23300.8)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1231.75, ""max_loss"": 4927.0, ""premium_outlay"": 27378.0, ""outlay_pct"": 27.4, ""profit_tp"": 7389.2}, ""quote_source"": ""kite"", ""bid"": 105.25, ""ask"": 105.3, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": 0.44, ""exit_t"": ""2026-09-18T11:59:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
fef7b8051ca243938b005af7998ebb94,2026-09-18 06:40:12.077720,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""PE"", ""instrument"": ""NIFTY 23350 PE"", ""strike"": 23350, ""ep"": 111.6, ""sl"": 91.51, ""tp"": 141.73, ""rr"": 1.5, ""delta"": -0.505, ""theta_day"": -9.89, ""time_stop_min"": 20, ""spot"": 23326.95, ""why"": ""rejected 23300 CE OI wall (high 23318.7, spot 23311.4)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 4, ""risk_per_lot"": 1305.85, ""max_loss"": 5223.4, ""premium_outlay"": 29016.0, ""outlay_pct"": 29.0, ""profit_tp"": 7833.8}, ""quote_source"": ""kite"", ""bid"": 111.3, ""ask"": 111.6, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": -0.27, ""exit_t"": ""2026-09-18T12:29:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
43f6dd6b2d1a468886d6239bcece4aab,2026-09-18 06:40:12.569268,NIFTY,WALL_REJECT,CE,NIFTY 23350 CE,"{""symbol"": ""NIFTY"", ""rule"": ""WALL_REJECT"", ""direction"": ""CE"", ""instrument"": ""NIFTY 23350 CE"", ""strike"": 23350, ""ep"": 87.6, ""sl"": 71.83, ""tp"": 111.25, ""rr"": 1.5, ""delta"": 0.495, ""theta_day"": -14.55, ""time_stop_min"": 20, ""spot"": 23326.95, ""why"": ""bounced off 23300 PE OI wall (low 23307.4, spot 23311.4)"", ""sizing"": {""capital"": 100000.0, ""risk_pct"": 7.5, ""risk_budget"": 7500.0, ""lot_size"": 65, ""lots"": 5, ""risk_per_lot"": 1025.05, ""max_loss"": 5125.25, ""premium_outlay"": 28470.0, ""outlay_pct"": 28.5, ""profit_tp"": 7686.25}, ""quote_source"": ""kite"", ""bid"": 87.5, ""ask"": 87.6, ""simulated"": false, ""paper"": {""outcome"": ""TIME"", ""r"": 0.34, ""exit_t"": ""2026-09-18T12:29:00+05:30"", ""bars_held"": 20, ""scored_at"": ""2026-09-18T15:35:32+05:30""}}",PIN_BUG fixed in 2982208 (resistance == support == 23300)
