id,user_id,account,runup_pct,signal_id,day,symbol,rule,direction,instrument,expiry,spot_entry,delta,entry_p,sl,tp,lot_size,lots,capital_used,status,exit_p,exit_at,exit_source,outcome,r_multiple,charges,pnl,equity_after,created_at,void_reason
f839a977ac9a417ab020aa4fbdfd6cbe,7a7359a5549646cdb86900026a8dd7c3,A,22.97,b92d224eaf3b4bfaa3517271ba4f9b43,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,22-Sep-2026,23295.45,-0.479,111.1,91.1,141.1,65,4,28886.0,closed,90.3,2026-09-18 04:25:10.396181,kite,SL,-1.04,105.3,-5513.3,100838.83,2026-09-18 04:05:02.566978,PIN_BUG fixed in 2982208
1001b3ba9f47481cb1437c90c06ceaa3,7a7359a5549646cdb86900026a8dd7c3,B,22.97,b92d224eaf3b4bfaa3517271ba4f9b43,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,22-Sep-2026,23295.45,-0.479,111.1,91.1,141.1,65,0,0.0,skipped,,,,EXT,,,,,2026-09-18 04:05:02.567692,PIN_BUG fixed in 2982208
00170fb043d34fc1907885461fd71442,7a7359a5549646cdb86900026a8dd7c3,A,10.59,f16680eb2a31452bacf51231de2d6cca,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23295.45,0.524,122.75,100.66,155.88,65,2,15957.5,closed,128.05,2026-09-18 04:31:16.463114,kite,TIME,0.24,86.36,602.64,101441.47,2026-09-18 04:11:07.127593,PIN_BUG fixed in 2982208
2527c8d554ae446b970928b9d7a65fd3,7a7359a5549646cdb86900026a8dd7c3,B,10.59,f16680eb2a31452bacf51231de2d6cca,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23295.45,0.524,122.75,100.66,155.88,65,4,31915.0,closed,128.05,2026-09-18 04:31:16.645265,kite,TIME,0.24,125.51,1252.49,122095.17,2026-09-18 04:11:07.131084,PIN_BUG fixed in 2982208
283da0adbd6a45cabc0fb162e85c4478,7a7359a5549646cdb86900026a8dd7c3,A,9.95,e6ea9b9ef4664442bbee6bbfaa11e3a0,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23318.4,-0.514,121.3,99.47,154.04,65,3,23653.5,closed,123.15,2026-09-18 04:57:12.819343,kite,TIME,0.08,103.97,256.78,101698.25,2026-09-18 04:37:07.551585,PIN_BUG fixed in 2982208
5be23b3a8f31460dae44605527373ca9,7a7359a5549646cdb86900026a8dd7c3,B,9.95,e6ea9b9ef4664442bbee6bbfaa11e3a0,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23318.4,-0.514,121.3,99.47,154.04,65,4,31538.0,closed,123.15,2026-09-18 04:57:13.008815,kite,TIME,0.08,122.9,358.1,122453.27,2026-09-18 04:37:07.556510,PIN_BUG fixed in 2982208
8259eada33df439e968adf5aed5da73a,7a7359a5549646cdb86900026a8dd7c3,A,8.41,951ad717812b48bdbc6fd1e8b7376af7,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23307.55,-0.529,124.05,101.72,157.54,65,2,16126.5,closed,118.35,2026-09-18 05:27:43.120519,kite,TIME,-0.26,84.01,-825.01,99910.5,2026-09-18 05:07:37.529929,PIN_BUG fixed in 2982208
76ef378ad4504896a980330ef5bbb10c,7a7359a5549646cdb86900026a8dd7c3,B,8.41,951ad717812b48bdbc6fd1e8b7376af7,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23307.55,-0.529,124.05,101.72,157.54,65,3,24189.75,closed,118.35,2026-09-18 05:27:43.344859,kite,TIME,-0.26,102.42,-1213.92,120276.61,2026-09-18 05:07:37.531640,PIN_BUG fixed in 2982208
cef8e99c2ebb409ab833908e1dd91dbe,7a7359a5549646cdb86900026a8dd7c3,A,6.73,04ab3e51683340dd8f21f57a0a26e801,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23303.65,0.539,114.25,93.68,145.1,65,3,22278.75,closed,108.9,2026-09-18 05:44:28.478780,kite,TIME,-0.26,98.02,-1141.27,98769.23,2026-09-18 05:24:26.789993,PIN_BUG fixed in 2982208
e2db5284a0534af2b3ce83023db1a9c1,7a7359a5549646cdb86900026a8dd7c3,B,6.73,04ab3e51683340dd8f21f57a0a26e801,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23303.65,0.539,114.25,93.68,145.1,65,3,22278.75,closed,108.9,2026-09-18 05:44:28.685356,kite,TIME,-0.26,98.02,-1141.27,119135.34,2026-09-18 05:24:26.791450,PIN_BUG fixed in 2982208
